Vezeteknev,Keresztnev,Mobil szam,Otthoni szam,Munkahelyi szam,Lakcim,Lakcim_varos,Lakcim_irsz,Mhely_cim,Mhely_varos,Mhely_irsz,Ceg,Osztaly,Beosztas,Email,Szuletesnap
Kovacs,Janos,067012345678,nincs,1231231,Tulipan ut 11,Pomaz,111,nincs,nincs,nincs,nincs,nincs,nincs,nincs,19780424
Elekes,Tamas,06309871625,1341341,nincs,Rozsa krt 5,Vac,2123,nincs,nincs,nincs,nincs,nincs,nincs,nincs,nincs
Neves,Karoly,062145367126,nincs,1341134,Narcisz utca 1,Szigliget,3124,Mezo utca 89,Pecs,1234,Azur,nincs,konyvelo,nincs,nincs
Nagy,Imre,nincs,123413,nincs,Pipacs ter 123,Siofok,1234,nincs,nincs,nincs,nincs,nincs,nincs,nincs,nincs
Szabo,Jeno,3212312,nincs,nincs,Liliom koz 43,Tiszafured,4321,nincs,nincs,nincs,nincs,nincs,nincs,info@info.hu,nincs
Remek,Elek,1231233,1341341,1341341,Kis utca 4,Kartal,2345,nincs,nincs,nincs,nincs,nincs,nincs,nincs,nincs
Kadar,Zsa-Zsa,06 46 349648,nincs,nincs,Dozsa Gyorgy ut 1.,Tiszaluc,3565,nincs,nincs,nincs,otthoni,otthoni,Biztosito,kadarzs@jourrapide.com,19360330
Lakatos,Brendon,06301254869,nincs,nincs,Borton utca 1.,Budapest,1114,nincs,nincs,nincs,nincs,nincs,ismeretlen,nincs,19851010
Siposs,Balazs,0647334791,nincs,1434864,Bem rkp. 67.,Prugy,3925 ,Kecske utca 5,Miskolc,3500,vallalkozo,nincs,nincs,nincs,19900101
Sos,Richard,06201901893,nincs,nincs,Toth utca 8,Kecskemet,6724,Almos utca 42,Kecskemet,6724,OTP,penzugy,fonok,sr@kotp.hu,19970905
Rendses,Roza,06204444668,nincs,nincs,Botond korut 839.,Debrecen,3546,nincs,nincs,nincs,nincs,nincs,nincs,nincs,19981111
Buta,Istvan,06304654164,0655605402,1185313,Kira erdosor 120.,Varpalota,5496,Teve utca 1,Varpalota,5496,Avon,nincs,uzletkoto,buta@avon.con,20000628
Meszaros,Frederika,06704184196,nincs,1234796,Kerepesi ut 124,Budapest,2116,Kerepesi ut 124,Budapest,1144,NEU,vezetoseg,igazgato,meszaros.frederika@neu.org,19590101
Papp,Elemer,06704584860,nincs,nincs,Albert setany 43. ,Miskolc,3500,nincs,nincs,nincs,nincs,nincs,nincs,papp.ele@gmail.com,19790417
Kis,Linda,06318128554,nincs,nincs,Endre sor 50. ,Nyiregyhaza,5456,Moszkva utca 49,Hajdunanas,9214,TTK,konyvelo,statisztikus,kislinda@ttk.de,19990119
Bakos,Huba,06205254262,0655452008,nincs,Apor Peter u. 46,Paks,6549,Atom ut 2,Paks,6549,MVM,kutato,vezeto,bakoshuba@mvm.hu,nincs
Koves,Szilard,06301854514,nincs,1596544,Hegyalja ut 32.,Agard,4293,Vizes utca 147,Gardony,4292,Hajo KFT.,vendeglatas,pincer,nincs,19600809
Varga,Martin,06704459821,0655551260,nincs,Erzsebet krt. 55.,Kistarcsa,2143,nincs,nincs,nincs,nincs,nincs,nincs,araszola@citromail.hu,19861224
Bublos,Eva,06304151651,0655452008,nincs,Sip utca 78.,Valko,2114,nincs,nincs,nincs,nincs,nincs,nincs,evikeee@freemail.hu,19760506
